Date, Cityname, Citycode, Provincename, Number,weekday,month,day
2020-03-31, Appingedam,3, Groningen,1,Tuesday,3,31
2020-03-31, Waalwijk,867, North Brabant,16,Tuesday,3,31
2020-03-31, Vught,865, North Brabant,23,Tuesday,3,31
2020-03-31, Veldhoven,861, North Brabant,7,Tuesday,3,31
2020-03-31, Valkenswaard,858, North Brabant,6,Tuesday,3,31
2020-03-31, Uden,856, North Brabant,67,Tuesday,3,31
2020-03-31, Tilburg,855, North Brabant,115,Tuesday,3,31
2020-03-31, Waterland,852, North Holland,8,Tuesday,3,31
2020-03-31, Steenbergen,851, North Brabant,7,Tuesday,3,31
2020-03-31, Son en Breugel,848, North Brabant,15,Tuesday,3,31
2020-03-31, Someren,847, North Brabant,8,Tuesday,3,31
2020-03-31, Sint-Michielsgestel,845, North Brabant,14,Tuesday,3,31
2020-03-31, Rucphen,840, North Brabant,3,Tuesday,3,31
2020-03-31, Oss,828, North Brabant,73,Tuesday,3,31
2020-03-31, Oosterhout,826, North Brabant,23,Tuesday,3,31
2020-03-31, Oisterwijk,824, North Brabant,9,Tuesday,3,31
2020-03-31, Oirschot,823, North Brabant,6,Tuesday,3,31
"2020-03-31,"" """"Nuenen Gerwen and Nederwetten"""""",820,Noord-Brabant,7,Tuesday,3,31"
2020-03-31, Woensdrecht,873, North Brabant,4,Tuesday,3,31
2020-03-31, Zundert,879, North Brabant,13,Tuesday,3,31
2020-03-31, Wormerland,880, North Holland,8,Tuesday,3,31
2020-03-31, Landgraaf,882, Limburg,7,Tuesday,3,31
2020-03-31, Weert,988, Limburg,27,Tuesday,3,31
2020-03-31, Voerendaal,986, Limburg,2,Tuesday,3,31
2020-03-31, Venray,984, Limburg,22,Tuesday,3,31
2020-03-31, Venlo,983, Limburg,64,Tuesday,3,31
2020-03-31, Vaals,981, Limburg,2,Tuesday,3,31
2020-03-31, Stein,971, Limburg,11,Tuesday,3,31
2020-03-31, Simpelveld,965, Limburg,2,Tuesday,3,31
2020-03-31, Roermond,957, Limburg,25,Tuesday,3,31
2020-03-31, Mill and Sint Hubert,815, North Brabant,6,Tuesday,3,31
2020-03-31, Nederweert,946, Limburg,22,Tuesday,3,31
2020-03-31, Meerssen,938, Limburg,3,Tuesday,3,31
2020-03-31, Maastricht,935, Limburg,25,Tuesday,3,31
2020-03-31, Kerkrade,928, Limburg,10,Tuesday,3,31
2020-03-31, Heerlen,917, Limburg,24,Tuesday,3,31
2020-03-31, Gennep,907, Limburg,9,Tuesday,3,31
2020-03-31, Brunssum,899, Limburg,9,Tuesday,3,31
2020-03-31, Bergen (L.),893, Limburg,3,Tuesday,3,31
2020-03-31, Beesel,889, Limburg,10,Tuesday,3,31
2020-03-31, Mook and Middelaar,944, Limburg,3,Tuesday,3,31
2020-03-31, Valkenburg aan de Geul,994, Limburg,2,Tuesday,3,31
2020-03-31, Loon op Zand,809, North Brabant,15,Tuesday,3,31
2020-03-31, Heusden,797, North Brabant,22,Tuesday,3,31
2020-03-31, De Ronde Venen,736, Utrecht,11,Tuesday,3,31
2020-03-31, Vlissingen,718, Zeeland,5,Tuesday,3,31
2020-03-31, Veere,717, Zeeland,3,Tuesday,3,31
2020-03-31, Tholen,716, Zeeland,20,Tuesday,3,31
2020-03-31, Terneuzen,715, Zeeland,11,Tuesday,3,31
2020-03-31, Reimerswaal,703, Zeeland,4,Tuesday,3,31
2020-03-31, Middelburg,687, Zeeland,10,Tuesday,3,31
2020-03-31, Kapelle,678, Zeeland,1,Tuesday,3,31
2020-03-31, Hulst,677, Zeeland,4,Tuesday,3,31
2020-03-31, West Maas and Waal,668, Gelderland,9,Tuesday,3,31
2020-03-31, Goes,664, Zeeland,5,Tuesday,3,31
2020-03-31, Borsele,654, Zeeland,3,Tuesday,3,31
2020-03-31, Zwijndrecht,642, South Holland,9,Tuesday,3,31
